physical_packet_uid,capture_uid,capture_packet_index,sequence_segment,schedule_slot,detection_index,start_sample_2m,predicted_start_sample_2m,timing_residual_samples,reference_id,association_method,association_confidence,status,crc_valid,decoded_frame_hex,catalog_frame_exact,grlora_snr_db,estimated_cfo_hz,sto,sfo,previous_anchor_detection,next_anchor_detection,schedule_period_samples,local_search_used,local_search_score,notes
exp000_sess000_run000:seg00:slot000048,exp000_sess000_run000,48,0,48,47,580301035,580300767,268,48,crc_exact,1.0,accepted,1,40 44 33 22 11 00 01 00 58 30 00 66 68 25 48 BA DF C9 0E BF 17 9B A4 6B C2 F0 34 5E 3A 78 56 34 12,1,-1.3344091176986694,-127.80243682861328,344.714599609375,-0.032756417989730835,47,47,12003773.0,0,,
exp000_sess000_run000:seg00:slot000049,exp000_sess000_run000,49,0,49,48,592305907,592304540,1367,49,crc_exact,1.0,accepted,1,40 44 33 22 11 00 01 00 58 31 00 0E 4F FD 4B 29 AE C5 17 3A BB D4 55 22 4B 34 BD 3B 54 78 56 34 12,1,-1.151313066482544,-127.81787109375,290.2666015625,-0.0327603742480278,48,48,12003773.0,0,,
exp000_sess000_run000:seg00:slot000050,exp000_sess000_run000,50,0,50,49,604309306,604308313,993,50,crc_exact,1.0,accepted,1,40 44 33 22 11 00 01 00 58 32 00 13 01 B3 EE 27 67 4D 23 F1 E1 68 0E 1B 88 FA 5C 61 00 78 56 34 12,1,-1.1782337427139282,-127.80341339111328,381.8450927734375,-0.03275666758418083,49,49,12003773.0,0,,
exp000_sess000_run000:seg00:slot000051,exp000_sess000_run000,51,0,51,50,616312942,616312086,856,51,crc_exact,1.0,accepted,1,40 44 33 22 11 00 01 00 58 33 00 37 A8 93 85 D8 75 E5 FC 3D 82 47 4C 40 63 71 E6 C1 39 78 56 34 12,1,-1.1100722551345825,-127.7447280883789,366.6576843261719,-0.03274162486195564,50,50,12003773.0,0,,
exp000_sess000_run000:seg00:slot000052,exp000_sess000_run000,52,0,52,51,628316214,628315859,355,52,crc_exact,1.0,accepted,1,40 44 33 22 11 00 01 00 58 34 00 50 FD 61 AD D0 7F 21 96 9A DF 97 05 C7 34 01 D6 02 1D 78 56 34 12,1,-1.2045869827270508,-127.71389770507812,390.2434387207031,-0.032733723521232605,51,51,12003773.0,0,,
exp000_sess000_run000:seg00:slot000053,exp000_sess000_run000,53,0,53,52,640320642,640319632,1010,53,crc_exact,1.0,accepted,1,40 44 33 22 11 00 01 00 58 35 00 38 02 76 77 7E 0F B0 C3 75 5D 21 FA F9 16 5A C2 C3 E1 78 56 34 12,1,-1.0637614727020264,-127.73052978515625,317.56329345703125,-0.032737985253334045,52,52,12003773.0,0,,
exp000_sess000_run000:seg00:slot000054,exp000_sess000_run000,54,0,54,53,652323731,652323405,326,54,crc_exact,1.0,accepted,1,40 44 33 22 11 00 01 00 58 36 00 14 1F C9 DB C7 0D B4 33 1E 1C AE 03 3A 49 BD 56 C2 D0 78 56 34 12,1,-1.085371971130371,-127.75420379638672,400.5768127441406,-0.03274405375123024,53,53,12003773.0,0,,
exp000_sess000_run000:seg00:slot000055,exp000_sess000_run000,55,0,55,54,664328183,664327178,1005,55,crc_exact,1.0,accepted,1,40 44 33 22 11 00 01 00 58 37 00 CC 52 21 79 C0 97 EB 29 37 5B 2D 87 9C D5 D2 DC E3 4F 78 56 34 12,1,-1.4816612005233765,-127.76214599609375,315.381591796875,-0.0327460914850235,54,54,12003773.0,0,,
exp000_sess000_run000:seg00:slot000056,exp000_sess000_run000,56,0,56,55,676331816,676330951,865,56,crc_exact,1.0,accepted,1,40 44 33 22 11 00 01 00 58 38 00 B7 26 94 89 CA 31 1E ED EC 21 4D E2 65 E9 94 0C 66 48 78 56 34 12,1,-1.374704360961914,-127.74190521240234,367.3485107421875,-0.03274090215563774,55,55,12003773.0,0,,
exp000_sess000_run000:seg00:slot000057,exp000_sess000_run000,57,0,57,56,688335719,688334724,995,57,crc_exact,1.0,accepted,1,40 44 33 22 11 00 01 00 58 39 00 98 E5 48 B0 B8 C0 F6 3B B1 8D DE C8 DE AF 3B 58 83 B8 78 56 34 12,1,-1.3928031921386719,-127.72394561767578,350.5267639160156,-0.03273629769682884,56,56,12003773.0,0,,
