detection_index,frame_count,start_sample_2m,preamble_end_sample_2m,estimated_packet_end_sample_2m,header_ok,crc_valid,decoded_frame_hex,decoded_payload_len,grlora_snr_db,cfo_hz,sto,sfo,netid1,netid2,samples_per_symbol
58,59,712342002,713669106,717863410,1,1,40 44 33 22 11 00 01 00 58 3B 00 DB 97 62 37 30 5E 98 B9 E2 EC A2 3F 65 2D 07 06 22 89 78 56 34 12,33,-1.2600451707839966,-127.70172882080078,375.9492492675781,-0.03273060545325279,7,15,65536
59,60,724345341,725672445,729866749,1,1,40 44 33 22 11 00 01 00 58 3C 00 2E 6D 08 D5 B1 96 68 36 0A 2D 50 3F C1 5C D6 A7 AF 84 78 56 34 12,33,-1.4602203369140625,-127.73995971679688,386.2954406738281,-0.03274040296673775,7,15,65536
60,61,736348674,737675778,741870082,1,1,40 44 33 22 11 00 01 00 58 3D 00 05 C5 5D 20 40 85 72 84 9C 83 FD 41 C8 85 4E 6E 2A 68 78 56 34 12,33,-1.3138461112976074,-127.72611999511719,387.0452880859375,-0.03273685649037361,7,15,65536
61,62,748351765,749678869,753873173,1,1,40 44 33 22 11 00 01 00 58 3E 00 F5 25 F0 75 CE 7B 9D CD D5 FD B4 64 59 97 41 42 AA 50 78 56 34 12,33,-1.460607886314392,-127.72476196289062,401.9502258300781,-0.032736506313085556,7,15,65536
62,63,760353815,761680919,765875223,1,1,40 44 33 22 11 00 01 00 58 3F 00 D6 88 12 98 A8 1F 6C 6E FA 11 F6 71 CC 48 83 6F B5 B6 78 56 34 12,33,-1.4577851295471191,-127.72460174560547,466.848876953125,-0.03273646533489227,7,15,65536
63,64,772357538,773684642,777878946,1,1,40 44 33 22 11 00 01 00 58 40 00 03 C2 6B D5 1D 44 0E E5 55 A0 2A 6B 16 F0 8F 68 37 A3 78 56 34 12,33,-1.5062212944030762,-127.65483093261719,362.2510681152344,-0.032718583941459656,7,15,65536
64,65,784362562,785689666,789883970,1,1,40 44 33 22 11 00 01 00 58 41 00 E6 6B A1 2C D6 79 D4 3C 13 FA 08 1C 7A E2 9B E2 1C B5 78 56 34 12,33,-1.5355826616287231,-127.67015838623047,281.3407897949219,-0.03272251412272453,7,15,65536
65,66,796366974,797694078,801888382,1,1,40 44 33 22 11 00 01 00 58 42 00 C3 F6 6E CF B0 F5 5A F9 F3 9E 3A 2C C0 7E 9F 9D CC 9D 78 56 34 12,33,-1.5139174461364746,-127.6059799194336,318.6117248535156,-0.032706063240766525,8,16,65536
66,67,808371214,809698318,813892622,1,1,40 44 33 22 11 00 01 00 58 43 00 30 B6 51 FB 4F B7 18 55 1B 5D C5 6D F6 E2 41 93 79 BE 78 56 34 12,33,-1.412659764289856,-127.62648010253906,328.65716552734375,-0.032711319625377655,8,16,65536
67,68,820375864,821702968,825897272,1,1,40 44 33 22 11 00 01 00 58 44 00 F8 44 84 DB CA 96 23 5E 23 67 6B 3B F2 2F B7 BF D8 8A 78 56 34 12,33,-1.469701886177063,-127.67439270019531,304.1286926269531,-0.032723598182201385,7,15,65536
68,69,832378423,833705527,837899831,1,1,40 44 33 22 11 00 01 00 58 45 00 89 3C 82 E7 AD 2F AD 53 F7 2B 0A 58 88 18 57 BD 44 38 78 56 34 12,33,-1.416730523109436,-127.69824981689453,435.254150390625,-0.03272971138358116,7,15,65536
69,70,844382428,845709532,849903836,1,1,40 44 33 22 11 00 01 00 58 46 00 19 DE F6 55 85 4C E3 C1 30 B6 0B C0 AF B5 25 49 3E F8 78 56 34 12,33,-1.5242429971694946,-127.70536041259766,344.9973449707031,-0.03273153677582741,7,15,65536
70,71,856387318,857714422,861908726,1,1,40 44 33 22 11 00 01 00 58 47 00 47 40 B4 D9 21 83 40 FC A8 54 9F B6 0D A1 13 A5 9B 39 78 56 34 12,33,-1.4111533164978027,-127.63568878173828,288.4153747558594,-0.03271367773413658,8,16,65536
71,72,868390900,869718004,873912308,1,1,40 44 33 22 11 00 01 00 58 48 00 51 96 FF 18 AE 4E 47 96 1D 0A 8D 1D C4 D2 CA 4B 5A 1D 78 56 34 12,33,-2.0928823947906494,-127.62650299072266,369.60064697265625,-0.032711323350667953,8,16,65536
72,73,880394080,881721184,885915488,1,1,40 44 33 22 11 00 01 00 58 49 00 98 CF B6 0D 06 EC EA 47 3D E4 2D 27 2D D7 5C 73 7A F1 78 56 34 12,33,-2.0024337768554688,-127.66407012939453,395.9264221191406,-0.03272095322608948,7,15,65536
73,74,892398267,893725371,897919675,1,1,40 44 33 22 11 00 01 00 58 4A 00 9A 82 5A 75 A7 4D 90 30 B5 E5 0E F6 29 5C 8F 16 4E 18 78 56 34 12,33,-2.337232828140259,-127.64998626708984,333.3224792480469,-0.03271734341979027,7,15,65536
74,75,904402049,905729153,909923457,1,1,40 44 33 22 11 00 01 00 58 4B 00 0F 42 CA A1 A1 BD 98 5E 64 1C 02 9C 8C 6F 59 C9 FC 11 78 56 34 12,33,-0.1992950439453125,-127.62723541259766,358.99664306640625,-0.03271150961518288,7,15,65536
75,76,916405720,917732824,921927128,1,1,40 44 33 22 11 00 01 00 58 4C 00 5C C5 17 BB EF BA 53 57 2B 25 72 AA 50 30 3D 44 5F 09 78 56 34 12,33,-0.807774543762207,-127.64820098876953,364.63751220703125,-0.03271688520908356,8,16,65536
76,77,928410324,929737428,933931732,1,1,40 44 33 22 11 00 01 00 58 4D 00 56 A5 22 04 57 27 53 43 46 1A F6 4D 17 D4 EB 05 61 89 78 56 34 12,33,-2.517244338989258,-127.6496353149414,306.94818115234375,-0.032717254012823105,7,15,65536
77,78,940413938,941741042,945935346,1,1,40 44 33 22 11 00 01 00 58 4E 00 F2 4A 38 45 A3 96 3A DD E4 AC 51 03 73 E3 81 6F 6A 7B 78 56 34 12,33,-10.368644714355469,-127.66075134277344,369.1156311035156,-0.03272010385990143,7,15,65536
78,79,952416740,953743844,957938148,1,1,40 44 33 22 11 00 01 00 58 4F 00 69 81 D5 D9 B5 AC 7E FF 42 DC 5B 23 35 AD D0 B4 4C 1D 78 56 34 12,33,-10.390301704406738,-127.64827728271484,420.08428955078125,-0.03271690756082535,7,15,65536
79,80,964421921,965749025,969943329,1,1,40 44 33 22 11 00 01 00 58 50 00 DD 77 FE D8 0E 5D 3E B2 9A 65 78 B2 D8 2F B8 A7 5F C3 78 56 34 12,33,-4.628321647644043,-127.6016616821289,271.3170166015625,-0.03270495682954788,7,15,65536
80,81,976425631,977752735,981947039,1,1,40 44 33 22 11 00 01 00 58 51 00 23 E6 3A 57 4E 28 A3 06 16 E6 74 45 D9 89 81 DD 0F 08 78 56 34 12,33,-7.7511773109436035,-127.5610580444336,362.4744873046875,-0.03269454836845398,8,16,65536
81,82,988429045,989756149,993950453,1,1,40 44 33 22 11 00 01 00 58 52 00 AA 5D 60 0B 9C B3 01 BC 3E CF E9 82 95 71 2D 4E DC 08 78 56 34 12,33,-8.706758499145508,-127.62798309326172,381.2071533203125,-0.0327117033302784,7,15,65536
82,83,1000432242,1001759346,1005953650,1,1,40 44 33 22 11 00 01 00 58 53 00 15 61 5A 9F 33 3F C9 DA 4D 71 FC A2 0E 37 05 71 A0 4C 78 56 34 12,33,-9.690323829650879,-127.56572723388672,394.46807861328125,-0.032695747911930084,8,16,65536
83,84,1012435572,1013762676,1017956980,1,1,40 44 33 22 11 00 01 00 58 54 00 FF D4 65 5F B1 9F 66 3E 2D A5 69 90 8E 65 DA 84 A4 CF 78 56 34 12,33,-9.438702583312988,-127.56495666503906,386.33367919921875,-0.032695550471544266,7,15,65536
84,85,1024439239,1025766343,1029960647,1,1,40 44 33 22 11 00 01 00 58 55 00 71 81 C8 31 41 79 47 E9 25 02 F9 0A 76 38 8C A0 91 28 78 56 34 12,33,-9.49000072479248,-128.49041748046875,365.19769287109375,-0.03293275088071823,8,16,65536
